teste_v.0.0.8_projeto_sistema_bancario_v.0.0.5	
3.2.1.2_trilha_de_execucao_008
----------------------------------------------	
15/05/2025												
----------------------------------------------	
step:	|execution_track:			|input:				|output:			|
|---------------------------------------------------------------------------------------------------------------|
1	|3.2.0_3.2.1.0_3.2.1.1_                 |(2)      			|				|
|	|...      				|(1)      			|				|
2	|3.2.1.2_                  		|         			|				|
3	|3.2.1.3_   				|(1)      			|				|
|	|...      				|(-1234)      			|				|
|	|...                                    |(>>>)     			|                       	|
4	|3.2.1.3_ 				|(1)      			|				|
|	|...      				|(-1234)      			|				|
|	|...       				|(1)      			|				|
5	|3.2.1.4_  				|             			|				|
6	|3.3.0_3.3.1.0_3.3.1.1_ 		|             			|				|
7	|4.3.0_4.3.1.0_4.3.1.1_ 		|(>>>)      			|				|
|	|...      				|(1)         			|				|
8	|4.2.0_4.2.1.0_4.2.1.2_ 		|(1)          			|				|
9	|4.2.1.1_               		|(4)          			|				|
10	|3.2.1.1_               		|(2)          			|				|
|	|...      				|(1)          			|				|
11      |3.2.1.2_  				|             			|				|
12      |3.2.1.3_  				|(1)          			|				|
|	|...      				|(-1234)       			|				|
|	|...      				|(1)          			|				|
13	|3.2.1.4_  				|             			|				|
14	|3.3.1.1_                		|             			|				|
15	|4.3.1.1_                		|             			|				|
|	|...      				|(1)          			|				|
16	|4.2.1.2_                		|(>>>)         			|				|
|	|...      				|           			|shutdown			|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
17	|4.2.1.2_  				|(>>>)     			|				|
|	|...      				|(-Oscar)     			|				|
|	|...      				|(>>>)        			|				|
|	|...      				|(>>>)        			|				|
18	|4.3.1.1_ 				|(-Oscar)     			|				|
|	|...      				|(m)        			|				|
19	|4.3.1.1_               		|             			|				|
20	|4.3.1.2_ 				|             			|lista._pessoa_0001.json        |
|	|...      				|(>>>)         			|				|
|	|...      				|(1)          			|				|
21	|3.3.1.2_               		|             			|lista_contas_0001.json 	|
