teste_1.1.0_v.0.0.8_projeto_sistema_bancario_v.0.0.6	
014_1.1.0_2.2.3_3.2.1.4_trilha_de_execucao_008
----------------------------------------------	
18/06/2025
----------------------------------------------	
step:	|execution_track:			|input:				|output:			|
|---------------------------------------------------------------------------------------------------------------|
1	|3.2.0_3.2.1.0_3.2.1.1_ 										|
|	|					|(3)                    	|				|
2	|3.2.1.4_                 										|
|	|					|(>>>)                    	|				|
|	|					|(0)                    	|				|
3	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
4	|3.2.1.4_                 										|
|	|...					|(1)                    	|				|
|	|					|(>>>)                    	|				|
|	|...					|(0)                    	|				|
5	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
6	|3.2.1.4_                 										|
|	|...					|(1)                    	|				|
|	|...					|(-1234)                    	|				|
7	|3.3.1.1_       		        								|
8	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
9	|3.2.1.4_                 										|
|	|...					|(1)                    	|				|
|	|...					|(2345)                    	|				|
10	|3.3.1.1_       		        								|
10	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
11	|3.2.1.4_                 										|
|	|...					|(2)                    	|				|
|	|					|(>>>)                    	|				|
|	|...					|(2)                    	|				|
|	|...					|(0)                    	|				|
12	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
13	|3.2.1.4_                 										|
|	|...					|(2)                    	|				|
|	|					|(-12345)                    	|				|
14	|3.3.1.1_       		        								|
15	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
16	|3.2.1.4_                 										|
|	|...					|(1)                    	|				|
|	|					|(-5678)                    	|				|
17	|3.3.1.1_       		        								|
18	|3.2.1.1_                										|
|	|...					|(3)                    	|				|
19	|3.2.1.4_                 										|
|	|...					|(2)                    	|				|
|	|					|(-23456)                    	|				|
20	|3.3.1.1_       		        								|
21	|3.2.1.1_                										|
|	|...					|(4)                    	|				|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
|---------------------------------------------------------------------------------------------------------------|
